-0.29985,-0.0094232,0.745
-0.3,-5.5109e-17,0.75
-0.29985,0.0094232,0.755
-0.29941,0.018837,0.76
-0.29867,0.028232,0.765
-0.29763,0.0376,0.77
-0.29631,0.04693,0.775
-0.29469,0.056214,0.78
-0.29278,0.065443,0.785
-0.29057,0.074607,0.79
-0.28809,0.083697,0.795
-0.28532,0.092705,0.8
-0.28226,0.10162,0.805
-0.27893,0.11044,0.81
-0.27533,0.11914,0.815
-0.27145,0.12773,0.82
-0.2673,0.1362,0.825
-0.26289,0.14453,0.83
-0.25822,0.15271,0.835
-0.2533,0.16075,0.84
-0.24812,0.16863,0.845
-0.24271,0.17634,0.85
-0.23705,0.18387,0.855
-0.23115,0.19123,0.86
-0.22503,0.19839,0.865
-0.21869,0.20536,0.87
-0.21213,0.21213,0.875
-0.20536,0.21869,0.88
-0.19839,0.22503,0.885
-0.19123,0.23115,0.89
-0.18387,0.23705,0.895
-0.17634,0.24271,0.9
-0.16863,0.24812,0.905
-0.16075,0.2533,0.91
-0.15271,0.25822,0.915
-0.14453,0.26289,0.92
-0.1362,0.2673,0.925
-0.12773,0.27145,0.93
-0.11914,0.27533,0.935
-0.11044,0.27893,0.94
-0.10162,0.28226,0.945
-0.092705,0.28532,0.95
-0.083697,0.28809,0.955
-0.074607,0.29057,0.96
-0.065443,0.29278,0.965
-0.056214,0.29469,0.97
-0.04693,0.29631,0.975
-0.0376,0.29763,0.98
-0.028232,0.29867,0.985
-0.018837,0.29941,0.99
-0.0094232,0.29985,0.995
-7.3479e-17,0.3,1
