time,cmd_vx,px,vx,cmd_vy,py,vy,cmd_vt,pt,vt
1492453308.3054423,0.15271,0.5515985190440491,63.39901213634541,0.25822,0.15101642628202316,205.58942041804278,0.085,-1.6495517265380937,0.1736129499386256
1492453308.3601456,0.16075,0.5574713017998096,69.8399783009742,0.2533,0.16477817310523846,213.8878345934749,0.09,-1.6431041992837823,0.16797959222122408
1492453308.413767,0.16863,0.5631396253269576,75.02625418394386,0.24812,0.1794456951793222,223.35597641871172,0.095,-1.6379882570748268,0.15969767182451006
1492453308.4685125,0.17634,0.5700444221015748,82.5411433989503,0.24271,0.19489576037179107,233.5608027960202,0.1,-1.63176538748309,0.15525274540597397
1492453308.523352,0.18387,0.5760748521931564,87.07696357250721,0.23705,0.20404720295150208,227.5398112954803,0.105,-1.6255632098929116,0.1513162679096319
1492453308.5777686,0.19123,0.5833442403538127,94.02482172316049,0.23115,0.21703343075033926,231.37469337630577,0.11,-1.6285412231685867,0.12471799244945461
1492453308.6326141,0.19839,0.5940071915963817,108.23183543497404,0.22503,0.22940955315662273,233.2987333507459,0.115,-1.633529565090776,0.09640327543564296
1492453308.6879654,0.20536,0.605642114626578,123.06230357285258,0.21869,0.24302430089015198,237.9452176351595,0.12,-1.6389263381003707,0.07062962537994974
1492453308.7419038,0.21213,0.6175744592284206,136.8344577878345,0.21213,0.2561367889296336,240.84115662578324,0.125,-1.6235775805953274,0.10044035523338982
1492453308.7977436,0.21869,0.6280456086060131,145.48353842595301,0.20536,0.2699785167716486,245.12984826766487,0.13,-1.6302047525706362,0.07105364705090181
1492453308.8522165,0.22503,0.63551371677157,145.94568498693195,0.19839,0.2769226544958449,232.4702767804242,0.135,-1.6276488813532421,0.06853905173542238
1492453308.907137,0.23115,0.6494647476185368,161.8018515343223,0.19123,0.2921928451350813,241.16046565978377,0.14,-1.617210337708189,0.08622676950609456
1492453308.9613907,0.23705,0.6616298527695365,171.51278312941199,0.18387,0.304945583109122,242.81600088082322,0.145,-1.6196763400897614,0.06912998058676792
1492453309.0164423,0.24271,0.6693112301568556,169.38171857193367,0.17634,0.3138892558862663,235.197108024992,0.15,-1.6225646015520536,0.05312443605833867
1492453309.071342,0.24812,0.6814318066658014,178.08337889800478,0.16863,0.3238777115718196,230.97578572153571,0.155,-1.6085836855859525,0.08169255883283692
1492453309.1259203,0.2533,0.6985175637532646,197.5804580709676,0.16075,0.338462689419108,238.21115466586437,0.16,-1.5561761317917644,0.20359388867770006
1492453309.1796684,0.25822,0.712012915163804,206.19832565213397,0.15271,0.3528686552981044,244.15782044002165,0.165,-1.5351949239060194,0.23084221503394703
1492453309.2337513,0.26289,0.7199297252680408,200.49544990038927,0.14453,0.3599352671580965,231.90592934927906,0.17,-1.536547889844397,0.19831258299618024
1492453309.2900805,0.2673,0.7265134576294927,192.2953021109294,0.1362,0.3670210806842669,221.159636037577,0.175,-1.5319561967593878,0.1848822106654881
1492453309.3452845,0.27145,0.7407481594077726,203.30481145224672,0.12773,0.38337550369016316,233.78128499989208,0.18,-1.494289111957015,0.25658313316595927
1492453309.3998625,0.27533,0.7538681902649634,210.34620477516737,0.11914,0.39676252119934435,237.82758121396427,0.185,-1.4733899136984843,0.2769409402650899
1492453309.4555497,0.27893,0.7662009127741883,214.67241090435584,0.11044,0.40897297205503474,238.58794313153118,0.19,-1.4597508529279726,0.2764162659178214
1492453309.509622,0.28226,0.7764724837013657,213.5713266371213,0.10162,0.421112802905396,239.08941574502478,0.195,-1.4537046376805385,0.25680375644337194
1492453309.565405,0.28532,0.7871809723195456,213.64263274240622,0.092705,0.432440100335348,237.5948344498821,0.2,-1.42994912843611,0.2843391793007916
1492453309.6199944,0.28809,0.797751978307869,213.37781550460517,0.083697,0.44202405582505516,232.12387634677438,0.205,-1.4101873271278909,0.2983268185732194
1492453309.6747034,0.29057,0.8073864876232475,210.91283965072904,0.074607,0.4520094746494087,228.26149928633598,0.21,-1.3738259073240056,0.3524250253228438
1492453309.7286358,0.29278,0.8179205472569904,210.88523841151962,0.065443,0.46096957671526684,222.4159585457091,0.215,-1.345220244456602,0.3801347378067899
1492453309.78398,0.29469,0.8276948819525406,209.05046846194787,0.056214,0.4686999034608545,214.3363187604555,0.22,-1.3062043654042022,0.4306105936366481
1492453309.8376868,0.29631,0.8390798025760932,211.27241140519482,0.04693,0.4756919407374803,205.46000976059048,0.225,-1.2891926532429372,0.41921124528666787
